mapping_id,scope,tactic,technique_id,technique_name,subtechnique,evidence_classification,confidence,dynamic_status,evidence_reference,detection_reference,mitre_url,notes
GROUP-056,group,Discovery,T1018,Remote System Discovery,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1018/,"Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) surveys a system upon check-in to discover remote systems on a local network using the net view and net view /DOMAIN commands. [Turla](https://attack.mitre.org/groups/G0010) has also used net group ""Domain Computers"" /domain, net group ""Domain Controllers"" /domain, and net group ""Exchange Servers"" /domain to enumerate domain computers, including the organization's DC and Exchange Server.(Citation: Kaspersky Turla)(Citation: ESET ComRAT May 2020)"
GROUP-057,group,Discovery,T1518.001,Security Software Discovery,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1518/001/,"Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has obtained information on security software, including security logging information that may indicate whether their malware has been detected.(Citation: ESET ComRAT May 2020)"
GROUP-058,group,Defense Impairment,T1553.006,Code Signing Policy Modification,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1553/006/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has modified variables in kernel memory to turn off Driver Signature Enforcement after exploiting vulnerabilities that obtained kernel mode privileges.(Citation: Unit42 AcidBox June 2020)(Citation: GitHub Turla Driver Loader)
GROUP-059,group,Discovery,T1082,System Information Discovery,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1082/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) surveys a system upon check-in to discover operating system configuration details using the systeminfo and set commands.(Citation: Kaspersky Turla)(Citation: ESET ComRAT May 2020)
GROUP-060,group,Discovery,T1016,System Network Configuration Discovery,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1016/,"Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) surveys a system upon check-in to discover network configuration details using the arp -a, nbtstat -n, net config, ipconfig /all, and route commands, as well as [NBTscan](https://attack.mitre.org/software/S0590).(Citation: Kaspersky Turla)(Citation: Symantec Waterbug Jun 2019)(Citation: ESET ComRAT May 2020) [Turla](https://attack.mitre.org/groups/G0010) RPC backdoors have also retrieved registered RPC interface information from process memory.(Citation: ESET Turla PowerShell May 2019)"
GROUP-061,group,Discovery,T1016.001,Internet Connection Discovery,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1016/001/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used tracert to check internet connectivity.(Citation: ESET ComRAT May 2020)
GROUP-062,group,Discovery,T1049,System Network Connections Discovery,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1049/,"Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) surveys a system upon check-in to discover active local network connections using the netstat -an, net use, net file, and net session commands.(Citation: Kaspersky Turla)(Citation: ESET ComRAT May 2020) [Turla](https://attack.mitre.org/groups/G0010) RPC backdoors have also enumerated the IPv4 TCP connection table via the GetTcpTable2 API call.(Citation: ESET Turla PowerShell May 2019)"
GROUP-063,group,Discovery,T1007,System Service Discovery,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1007/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) surveys a system upon check-in to discover running services and associated processes using the tasklist /svc command.(Citation: Kaspersky Turla)
GROUP-064,group,Discovery,T1124,System Time Discovery,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1124/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) surveys a system upon check-in to discover the system time by using the net time command.(Citation: Kaspersky Turla)
GROUP-065,group,Execution,T1204.001,Malicious Link,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1204/001/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used spearphishing via a link to get users to download and run their malware.(Citation: ESET Turla Mosquito Jan 2018)
GROUP-066,group,Stealth | Persistence | Privilege Escalation | Initial Access,T1078.003,Local Accounts,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1078/003/,Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has abused local accounts that have the same password across the victim’s network.(Citation: ESET Crutch December 2020)
GROUP-067,group,Command and Control,T1102,Web Service,no,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1102/,"Official MITRE G0010 context. [Turla](https://attack.mitre.org/groups/G0010) has used legitimate web services including Pastebin, Dropbox, and GitHub for C2 communications.(Citation: Accenture HyperStack October 2020)(Citation: ESET Crutch December 2020)"
GROUP-068,group,Command and Control,T1102.002,Bidirectional Communication,yes,group_level_context,high,not assessed for this sample,https://attack.mitre.org/groups/G0010/,,https://attack.mitre.org/techniques/T1102/002/,Official MITRE G0010 context. A [Turla](https://attack.mitre.org/groups/G0010) JavaScript backdoor has used Google Apps Script as its C2 server.(Citation: ESET Turla Mosquito Jan 2018)(Citation: ESET Turla Mosquito May 2018)
